id,text,emotions
58,Amateur rocket scientists reach for space,joy
59,Confusion Reigns In the Expanding Digital World,surprise
60,Deaths linked to flu vaccine,sadness
61,Israel admits using phosphorous shells in Lebanon,sadness
62,4th person dies after receiving flu shot,sadness
63,Police and shoppers targeted in growing Iraq violence,fear
64,Scientists discover miracle in the depths,surprise
65,Doctors Seeing Patients Who Think They're Internet Addicted,sadness
66,China launches two satellites into orbit,joy
67,Vegetables May Boost Brain Power in Older Adults,surprise
68,Hurricane Paul nears Category 3 status,fear
69,"Russian ship sinks, 18-member crew missing",sadness
70,Iran's president urges higher birth rate,surprise
71,Apple set for massive market gains,joy
72,Tumor Types May Explain Survival Rates for Cancer,sadness
73,Routine mission turns into hunt for missing comrade,sadness
74,Bad weather slows S.Korean search for Russian ship,sadness
75,Tailors and housewives busy as Muslims celebrate Eid,joy
76,Active peace brings the promise of development,joy
77,Abbas condemns Israeli massacre in northern Gaza Strip,disgust
78,"Bangladesh ferry sinks, 15 dead",sadness
79,Bucs find a new kick in life,joy
80,Google to unveil election mashup,surprise
81,Police warn of child exploitation online,disgust
82,Breast Cancer Awareness is Important,fear
83,Hungary police tackle violent protestors,sadness
84,Three drivers had reason to be proud in Brazil,joy
85,Celebrities Protest Malibu Gas Facility,joy
86,Lebo: A life lived on the edge,anger
87,"Presto! He's Batman, then magic man",surprise
88,"Heavy use of mobile phones can make men infertile, scientists say",fear
89,Russian ship sinks in Pacific,sadness
90,China Successfully Launches Two Satellites,joy
91,Prestige has magic touch,joy
92,"Lies, damned lies, and divorce",sadness
93,Manning inspires Giants to victory in Dallas,joy
94,Riot warning for France suburbs,sadness
95,Full recovery expected for marathon winner,joy
96,Sony apologises for global battery recall,sadness
97,Questions on credit card safety,fear
98,Budapest calm after night of violent protests,anger
99,Vegetables May Boost Brain Power in Older Adults,joy
100,Report criticises US press freedoms,anger
101,French suburb riots could resume,fear
102,Photographer kidnapping condemned,disgust
103,Photographer kidnapped in Gaza,disgust
104,Baseball: Rogers enjoys his muddied streak,joy
105,"Cultural revolutionary, the iPod is five",joy
106,Life on Mars? Maybe We Missed It,surprise
107,Three found alive from missing Russian ship -report,joy
108,Moderate drinking reduces men's heart attack risk,joy
109,The sweet tune of an anniversary,joy
110,Inconvenient truths,anger
111,Dating difficult for Harry Potter,surprise
112,Students lose their rite of passage,sadness
113,Putin vows to tackle illegal immigration,anger
114,Ottawa must redefine 'terror',fear
115,"Britain to Limit Workers from Romania, Bulgaria",fear
116,Top General Optimistic on Iraq,sadness
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source,joy
118,Silly and substantial,joy
119,Official laughs for Borat,joy
120,Speaker Hastert testifies before panel probing sex scandal,disgust
121,On Educating Sexes Separately,anger
122,Tom Cruise and Katie Holmes set wedding date,joy
123,Martian Life Could Have Evaded Detection by Viking Landers,surprise
124,Ukraine gas deal marred by fears,fear
125,Marathon victory comes at heavy cost,joy
126,College tuition continues climbing,anger
127,German paper shows soldiers desecrating skull,disgust
128,"War is close, Ethiopia tells Somali rebels",fear
129,Advantage Cardinals with Suppan in Game 4,joy
130,NASA spacecraft to measure Sun,joy
131,"Sony Hates Europeans, Will Prevent The Importing of PS3",anger
132,Flu Vaccine Appears Safe for Young Children,joy
133,Google To Launch Yet Another Search Tool,joy
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,sadness
135,Israeli Bomblets Plague Lebanon,fear
136,"New Indonesia Calamity, a Mud Bath, Is Man-Made",anger
137,U.S. Weighs Sanctions Against North Korea,anger
138,"Rice, in Baghdad, Insists That Iraqis Are",anger
139,Senator Says U.S. Should Rethink Iraq Strategy,sadness
140,German Chief Forges Accord on Financing Health Care,joy
141,Turkish Writers Say Efforts to Stifle Speech May Backfire,anger
142,Kurdish Lawmaker Killed in an Attack in Baghdad,fear
143,Anti-U.S. Attack Videos Spread on the Internet,anger
144,"Women Face Greatest Threat of Violence at Home, Study Finds",disgust
145,Appeal by Chinese Researcher for Times May Soon Be Heard,joy
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash,sadness
147,A Mix of Oil and Environmentalism,fear
148,Immigrants and French Reach Deal in Standoff,joy
149,Genghis Khan Beer? Mongolia Grimaces,anger
150,Dead Bachelors in Remote China Still Find Wives,surprise
151,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",anger
153,Paris Journal: Smoking No Longer Tres Chic in France,joy
154,An Old Letter Casts Doubts on Iran's Goal for Uranium,surprise
155,U.S. Warns North Koreans About Nuclear Test,fear
156,Global Sludge Ends in Tragedy for Ivory Coast,sadness
158,Equipment on Plane in Brazil Collision May Have Been Faulty,sadness
159,"New Indonesia Calamity, a Mud Bath, Is Man-Made",sadness
160,Iraqi Journalists Add Laws to List of Dangers,fear
161,U.N. Force Is Treading Lightly on Lebanese Soil,fear
162,Cleric Said to Lose Reins Over Part of Iraqi Militia,sadness
163,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",surprise
164,Opera Canceled Over a Depiction of Muhammad,sadness
165,Military Officials Add to U.S. Criticism of Iraq's Government,joy
166,Teacher in Hiding After Attack on Islam Stirs Threats,fear
167,Combative Bush Releases Parts of Terror Study,fear
168,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,fear
169,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",fear
170,"Seduced by Snacks? No, Not You",disgust
171,Friends for Life: An Emerging Biology of Emotional Healing,joy
172,"Alzheimer's Drugs Offer No Help, Study Finds",sadness
173,"Across Europe, Worries on Islam Spread to Center",sadness
174,Cooking Defines Sephardic Jews at Sukkot,joy
175,"Fitness: Bodies in Motion, Clean and Sober",joy
176,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,joy
177,"Yankee Dies in Plane Crash, Official Says",sadness
178,An Elephant Crackup?,sadness
179,"With YouTube, Grad Student Hits Jackpot Again",joy
180,Dow flirts with record highs again,joy
181,Tropical Storm Isaac forms in Atlantic,fear
182,New Iraq terror tape calls for abducting foreigners,fear
183,'Deep regret' for ex-HP exec,sadness
184,'Opportunity' knocks on geologist's dream crater,joy
185,Squirrel jumps boy in park; rabies suspected,surprise
186,Girl left comatose after dental visit dies,sadness
187,Porn star candidate campaigns on campus,disgust
188,School ends football season after 0-4 start,sadness
189,Charlie Sheen to become highest-paid sitcom star,joy
190,Jon Stewart mocks benefits of CNN's I,surprise
191,Ashton Kutcher tells secret to Ryan Seacrest,surprise
192,Nails-on-chalkboard study earns Ig,disgust
193,Gunman 'fine' before shooting,sadness
194,Marijuana may stave off Alzheimer's,surprise
195,Kentucky seeks alcohol huffing ban,joy
196,Toddler died from tainted spinach,sadness
197,Judge dismisses Karr's porn case,surprise
198,10 die in 22-hour Kashmir standoff,fear
199,Slain Amish girls laid to rest,sadness
200,"5,000 flee plant fire",fear
201,Cher auction fetches double pre-sale estimates,joy
202,Stars scuffle on 'Grey's Anatomy',disgust
203,Probe under way in Yankee crash,sadness
204,Amish schoolhouse torn down,sadness
205,Warner will not run in '08,sadness
206,Reid land deal under scrutiny,surprise
207,"Flooding washes out road to Valdez, Alaska",sadness
208,Briton admits U.S. bomb plot role,sadness
209,Commentary: Minutemen have a right to be idiotic,anger
210,Madonna files adoption papers,joy
211,Gunmen kill 9 at Iraqi TV station,fear
212,Hastert sorry for scandal but not quitting,sadness
213,Ex-JonBenet suspect: Child porn case dropped,anger
214,"Waste plant fire forces 5,000 to evacuate",sadness
215,Toddler died from E. coli tainted spinach,sadness
216,Disturbing finds in child sex raids,disgust
217,Magazine lists women who had abortions,anger
218,"Pot smokers may avoid Alzheimer's, study says",surprise
219,Student starts white men's club on campus,sadness
220,Kentucky wants to ban alcohol inhalers,surprise
221,Peter Pan flies into chapter two,surprise
222,Teen repellent inventor wins infamous prize,joy
223,"Cher's dress, car, bed have new owners",joy
224,"Dow hits new record, eyes 12,000",joy
225,Ex-Virginia gov not running for president,surprise
226,Yankee pitcher's pilot log found,surprise
228,Dem leader's $1 million land deal under scrutiny,anger
229,"Dad locked up son, watched on TV, police say",sadness
230,Navarrette: Minutemen have a right to be idiotic,sadness
231,"Pit bulls jump miniature pony, leave her bloody",sadness
232,Alaska town cut off from rest of state by flood,fear
233,Trailblazing trio protects City by the Bay,joy
234,Madonna files adoption papers in Malawi,joy
235,'Dr. McDreamy' choked in 'Grey's' scuffle,sadness
236,"$10,000 poetry prize awarded",joy
237,Las Vegas honour for tiger pair,joy
238,UK characters boosting box office,joy
239,Cher items snapped up at auction,joy
240,Griffiths scorns Withnail 'play',disgust
241,Lily Allen wins web music award,joy
242,Costner appeals in casino wrangle,anger
243,Beyonce copyright claim rejected,anger
244,Cohn gunman jailed for 36 years,joy
245,Melua's deep sea gig sets record,joy
246,Sri Lanka clashes kill 129 troops,sadness
247,Gunmen kill 11 in Iraq TV raid,sadness
248,Italy drops Sicily bridge plans,surprise
249,Amish killings school demolished,sadness
250,Pamuk wins Nobel Literature prize,joy
251,Madonna adoption bid approved,joy
252,Man admits UK-US terror bomb plot,fear
253,Who are you calling fat?,disgust
500,Test to predict breast cancer relapse is approved,joy
501,"Two Hussein allies are hanged, Iraqi official says",sadness
502,Sights and sounds from CES,joy
503,Schuey sees Ferrari unveil new car,joy
504,Closings and cancellations top advice on flu outbreak,fear
505,Trucks swallowed in subway collapse,sadness
506,Sarkozy letter surprises French cartoons hearing,surprise
507,"Building a memorial to a son, one child at a time",sadness
508,Lawmaker seeks iPod ban in crosswalks in New York,surprise
509,Diabetic waits months for eyeglasses,sadness
510,Sudan tells United Nations envoy to leave in 72 hours,surprise
511,5000 years on but couple still hugging,surprise
512,Defense to challenge Russert's credibility,surprise
513,"Ozzy, a Hero for the hard-rocking masses",joy
514,CIA leak trial summary,surprise
515,Dance movie takes over No. 1,joy
516,Asian nations urge Myanmar reform,surprise
517,"After Iraq trip, Clinton proposes war limits",joy
518,7 dead in apartment building fire,sadness
519,Male sweat boosts women's hormone levels,surprise
520,Carphone Warehouse's mixed signals,surprise
521,Democrats plot Bush troop increase censure,surprise
522,Cisco sues Apple over iPhone name,anger
523,BB star Jackson denies Goody comments,disgust
524,Inter Milan set Serie A win record,joy
525,US Airways boosts bid for Delta,surprise
526,Press sees hope in Mecca talks,joy
527,Bears fan loses bet and changes name,surprise
528,"Global National	Major child porn ring bust",disgust
529,'Human hair' clue in hunt for airliner,surprise
530,Johnny Depp to make movie of spy poisoning,joy
531,Really?: The claim: the pill can make you put on weight,surprise
532,5 money makeovers,joy
533,TBS to pay $2M fine for ad campaign bomb scare,fear
534,"""Stomp the Yard"" has winning moves in its weekend debut",joy
535,"Discovered boys bring shock, joy",surprise
536,Bernhard set to leave Volkswagen,sadness
537,Pacers' Jackson misses gun hearing,fear
538,Cases: when the simple solution is the right one,joy
539,Two Muslim groups sue French newspaper International,anger
540,Golden Globes on their way,joy
541,"At New OZZFEST, Freedom Ain't Free",surprise
542,Federer handed tough Aussie draw,sadness
543,Protesters end strike as Nepal PM concedes demands,joy
544,Turner pays for Boston "bombing",fear
545,Two detained in body parts mailing,disgust
546,Essay: about that mean streak of yours: psychiatry can do only so much,sadness
547,Hussein's niece pleads for father's life,sadness
548,Sarkozy heads for clash in cartoons row,anger
549,Global web of suspects in child-rape download,anger
550,Blake defeats Moya to retain title,joy
551,"Storms kill, knock out power, cancel flights",fear
552,Aquarium puts ailing beluga whale to sleep,sadness
553,"Microsoft, Sony, we have a problem",surprise
554,A police state? The issues,fear
555,Move to ban iPods from crossing the street,surprise
556,India's Taj Mahal gets facelift,joy
557,Cheney to Congress: Can't run Iraq war by committee,anger
558,Ganguly handed India squad call-up,joy
559,Fortune: Looking beyond the iPhone,joy
560,Really?: The claim: the back seat of a car is the safest place to sit,surprise
561,Vaccine mandate upsets legislators,anger
562,News analysis: Iranian boast is put to test,fear
563,Panel issues bleak report on climate change,fear
564,Virtual 'American Idol' hits right notes,joy
565,"Iraq car bombings kill 22 People, wound more than 60",sadness
566,'Stomp' steps to No. 1 at box office,joy
567,Google executive acts as goodwill envoy,joy
568,Filipino woman kidnapped in Nigeria,fear
569,"Seahawks, Bears vie for shot at NFL title",joy
570,Brown not buried as estate issues loom,sadness
571,Will Rob Cohen Direct Third 'Mummy'?,surprise
572,EU will urge China to go green,joy
573,17th-Century Remedy; 21st-Century Potency,surprise
574,Forecasters expect toasty 2007,fear
575,'Sunshine' Goydos wins Sony open,joy
576,Teacher charged with sex assault,disgust
577,Merck: Gardasil may fight more strains,joy
578,"Mountain glaciers melting faster, United Nations says",fear
579,Snow causes airport closures in Britain,sadness
580,Bananaconda inventor is top poet of kids,joy
581,Shareholders sue Apple,anger
582,Israelis retaliate after attack by Lebanese Army,fear
583,Deadly bird flu confirmed in British Turkeys,fear
584,Too little sleep may mean too fat kids,surprise
585,Bathing mom awakes to find baby dead,sadness
586,Visitors to Eiffel Tower climb to record in 2006,joy
587,"More sleep, healthier slimmer children",surprise
588,Queen battles Bond for Baftas,joy
589,"Walters on Trump: 'Poor, pathetic man'",sadness
590,"Ice storm smacks roads, power",fear
591,Iran says it will strike US interests if Attacked,fear
592,Palestinian factions to resume talks,joy
593,Study: men's sweat triggers high sexual arousal in women,surprise
594,Outcry at N Korea 'nuclear test',fear
595,Russia plans major military build-up,fear
596,Archaeologists find remains of couple locked in a hug,surprise
597,Stenson defends his title at Dubai,joy
598,Taking the plunge,fear
599,Updates on world's top stories,joy
600,Man rides stationary bike for 85 hours,surprise
601,Ice storm coating Midwest,fear
602,A Mistrial for Lieut. Watada,anger
603,Iran warns will hit back at US if attacked,fear
604,ASEAN talks end on energy-security,joy
605,"Iraqi death toll exceeded 34,000 in 2006, United Nations says",sadness
606,Israel intensifies military flights over Lebanon,fear
607,New gadgets galore at tech show,joy
608,Another death at Georgia Aquarium,sadness
609,US to urge Nato Afghan spring offensive,fear
610,UK letter bombs may be from extremist drivers,fear
611,Asia seeks breakthrough on North Korea,surprise
612,Federer overcomes a ragged start,joy
613,Rowdy fans ejected from the Open,anger
614,Terai protesters hail 'historic' victory over government,joy
615,Anger at release of two held over beheading plot,anger
616,Bush adamant on troops to Iraq,anger
617,Bebe Neuwirth gets to 'wiggle again',joy
618,Beckham to L.A.: For the game not fame,joy
619,Sleep more to fight childhood obesity,surprise
620,Abbas rejects temporary state,sadness
621,Investigation of child porn site hits 77 nations,disgust
622,Sleuths close in on Odysseus home,surprise
623,Variety: Johnny Depp to make movie of spy poisoning,surprise
624,Ice storm cripples central U.S.,fear
625,Park stars as United maintain lead,joy
626,Prehistoric Romeo and Juliet discovered,surprise
627,India's famous landmark gets facelift,joy
628,Joseph Wambaugh's new start,joy
629,Participant in water-drinking contest dies,sadness
630,Apple drops bombshell with iPhone,surprise
631,Bollywood's 'Brangelina' engaged,joy
632,"Shiite fighters arrested in crackdown, Iraq says",fear
633,"Rio De Janeiro journal: drawing lines across the sand, between classes",sadness
634,Models' health guidelines -- will they help?,surprise
635,Stepping back in time at ski resort,joy
636,Test cricketer jailed over killing,sadness
637,Walnuts 'combat unhealthy fats',joy
638,Apple to Vista upgraders: 'Wait',surprise
639,Injured Sarwan to miss one-dayers,sadness
640,Firms on alert for letter bombs,fear
641,Studios sign off on movie downloads,surprise
642,Asif returns with four-wicket haul,joy
643,"Bush authorized Iranians' arrest in Iraq, Rice says",anger
644,Porn ring scandal reaches Australia,disgust
645,Deputy health minister arrested in US-Iraqi raid,sadness
646,Senator Carl Krueger thinks iPods can kill you,surprise
647,"Finally, Senate okays anti-terror bill Manila",joy
648,Somalia declares state of emergency,fear
649,Matt shines with his Alpine finish,joy
650,BP CEO Browne to step down in June,sadness
651,An iPhone by any other name? Surely not,surprise
652,Life in Gaza steadily worsens,sadness
653,The energy challenge | Exotic visions: how to cool a planet (maybe),surprise
654,"Easy ways to (really) save $400,000",joy
655,Shareholders sue Apple,anger
656,Findings: Can humanity survive? Want to bet on it?,fear
657,Iran steps up production of weapons-grade uranium,fear
658,Rig-threat cargo ship towed ashore,fear
659,Palestinians say clashes hurt their cause,sadness
660,Male sweat can raise hormones,surprise
661,Vital Signs: Hazards: Antidepressant linked to fractures in older people,surprise
662,Peron held over '70s rights abuses,sadness
663,Space life search turns to TV,surprise
664,"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",sadness
665,YouTube told to drop celeb sex video,surprise
666,Beckham& Posh and more athlete-celebrity couples,joy
667,City sets up ice storm shelters,fear
668,Libby prosecutors await judge's rulings,sadness
669,Review: 'Alpha Dog' misses the point,sadness
670,Republicans plan to block Iraq debate,anger
671,Mixed reaction to China's Africa push,surprise
672,Snowed in the Canadian Rockies,joy
673,"Skip the showers: male sweat turns women on, study says",surprise
674,Gently Weeps' lyrics sheet up for sale,joy
675,Canete wins inaugural Joburg Open,joy
676,Rights group halts violent Nepal strikes,joy
677,Real suffer Carlos injury setback,sadness
678,Astronaut may have buckled under stress,sadness
679,Gunmen abduct Filipino woman in Nigeria,fear
680,NFL team's fan of the year: 'Flag Lady',joy
681,No 10 rejects police state claim,surprise
682,Malaysian AirAsia X to fly in July,joy
683,10 kidnapped at Nigeria oil base,fear
684,Guy sweat is babe magnet,surprise
685,Township tourism booming in South Africa,joy
686,'Alpha Dog' misses the point,surprise
687,Iran leader pays Nicaragua a visit,surprise
688,"'Grey's,' 'Pirates' lead People's Choice",joy
689,Terror network,fear
690,Now it's official: Iraq's a mess,sadness
691,Snow brings travel misery to England,sadness
692,James Brown's 5-year-old son left out of will,surprise
693,Two men killed by London tube train,sadness
694,US millions fail to buy influence in deadly Gaza power play,sadness
695,PLO ministers agreed upon in Mecca,joy
696,Squadron apologies over 'friendly-fire' death,sadness
697,New Orleans violence sparks tourism fears,fear
698,Friendly fire pilot 'experienced',fear
699,SPACE.com: Black hole triplets spotted,surprise
700,Vaccines: Mandate or choice?,surprise
701,"Congolese soldiers riot, loot over pay issue",anger
702,Commodities lead Europe higher,joy
703,Ingredient in male sweat raises women's hormone levels,surprise
704,Goetschl ends Austrian win drought,joy
705,Doomsday Clock ticking away,fear
706,Troops massing around Somali town,fear
707,Tariq Ramadan has an identity issue,surprise
708,Peretz orders IDF to respond with force to north border attacks,anger
709,Trains crash near Thai resort town,sadness
710,"Hamas, Fatah return to unity gov't talks in Mecca",joy
711,Pats' fourth-quarter rally finishes Chargers,joy
712,7 Die As US Helicopter Crashes in Iraq,sadness
713,Millionaire secret Santa dies,sadness
714,Morrissey may cheer up Eurovision,joy
715,Christian values guide Dungy and the Colts,joy
716,Israeli woman's tirade spurs PM outrage,anger
717,Passing exchange becomes political flashpoint,anger
718,Police probe 2 church fires half mile apart,sadness
719,Italy to try US soldier for agent's Iraq death,anger
720,Depp to star in spy poisoning film,joy
721,'24's' Jack Bauer returns,joy
722,US Airways boosts bid for Delta,surprise
723,"Even before its release, world climate report is criticized as too optimistic",fear
724,"Second hanging also went awry, Iraq tape shows",sadness
725,Howell takes one shot lead in Sony Open,joy
726,Psych checks reviewed after astronaut's crack-up,sadness
727,"Pap Test, a mainstay against cervical cancer, may be fading",surprise
728,Martins leads Newcastle fightback,joy
729,PS3 pricey but impressive,joy
730,Pluto's revenge: 'Word of the Year' award,joy
731,European Space Agency,joy
732,Hackers strike at key Internet servers,anger
733,Hussein co-defendants executed,sadness
734,Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail,fear
735,Blissing out in Ojai,joy
736,"Houston, she's got some problems",sadness
737,Amazon.com has 'best ever' sales,joy
738,Hackers attack root servers,anger
739,Video games can improve your vision,surprise
740,Internet attacked! (Did anyone notice?),surprise
741,"In Washington, contractors take on biggest role ever",surprise
742,Floods force Malaysia evacuations,sadness
743,"On MySpace, girls seek friends, boys flirt",surprise
744,Tests of drug to block H.I.V. infection are halted over safety,fear
745,Zoo polar bear to have root canal,sadness
746,Europe take big Royal Trophy lead,joy
747,Israel to install cameras to show live Mughrabi footage,joy
748,'We lit our last candle yesterday',sadness
749,Google buys YouTube for $1.65bn,surprise
750,PSP number one Sony platform in Japan,joy
751,England include Giles in WC squad,joy
752,Beckham 'won't play again for Real',sadness
753,Eight years for Damilola killers,sadness
754,PC World editor slain at California home,sadness
755,Hands on 'Doomsday Clock' move forward,fear
756,Zach Braff says he has 'mild depression',sadness
757,Investigation of child porn site hits 77 nations USA Today,disgust
758,Science panel calls global warming unequivocal,fear
759,News Baby pandas! Baby pandas! Baby pandas!,joy
760,Get ready for the earnings,joy
761,Germany agonizes over a brain drain,sadness
762,Iran and Nicaraguan leaders meet,joy
763,Secret hotels in Irish countryside,surprise
764,Fine wines in British Columbia,joy
765,Philippine president welcomes Senate approval of anti-terror bill,joy
766,"Small jet crashes on takeoff, killing 2",sadness
767,"Bigger, more aggressive rats infesting UK",fear
768,Travel+Leisure: Next island hot spot: St. Lucia,joy
769,Real Mallorca rock leaders Sevilla,joy
770,Iran's boast on uranium enrichment is put to test,fear
771,"Personal health: for teenagers, the car is the danger zone",fear
772,Bird watchers flock to see rare owl,joy
773,Eye on cosmos is lost to short circuit on hubble,sadness
774,Too young for this: facing cancer under 40,sadness
775,Unilever group names new chairman,joy
776,Minister slams airlines on carbon,anger
777,Rare optimism as North Korea talks reach crossroads,joy
778,Man beheaded in southern Thailand,sadness
779,China's 'nightmare scenario',fear
780,Annual diving contest in South Korea proves a chilly challenge,surprise
781,Blair says he regrets delays in British soldier's inquest,sadness
782,Iraqi forces detain official suspected in Shia conspiracy,fear
783,Wellcome awards anti-fat research,joy
784,Fingers crossed for North Korea,joy
785,"No intention of war with Iran, US says",joy
786,What Newsom faces in aftermath of scandal,fear
787,Maggie Gyllenhaal's Globes babysitter: Mom,joy
788,"As inflation soars, Zimbabwe economy plunges",sadness
789,Pledge: I was abused in frat hazing,disgust
790,Experts: Fear likely shackled boy,fear
791,What's behind the chopper crashes in Iraq,fear
792,Freed Muslim terror suspect says Britain is "police state",fear
793,Blair apologises over friendly fire inquest,sadness
794,Depp 'to make Litvinenko movie',joy
795,Why gas follows oil up but not down,surprise
796,"'Cravings' still there, sez Tara",joy
797,Bill would strip convicted legislators of pensions,sadness
798,Bears watch as lead slips away,sadness
799,"In clue to addiction, brain injury halts smoking",surprise
800,"In rigorous test, talk therapy works for panic disorder",joy
801,Rice: U.S. won't pull plug on Iraq,joy
802,"On road to Kosovo independence, a warning: go slow",fear
803,Mistrial for officer who refused to go to Iraq,sadness
804,Rebels to join Nepal parliament,surprise
805,"EMI warns on profits, boss goes",fear
806,Subway collapse caught on camera,sadness
807,Stinky but true: men's sweat is made for love,surprise
808,POLITICS-US: reprieve for officer who denounced "Immoral War",joy
809,Hunters stalk world's tallest trees,sadness
810,Fuel spill may lead to missing jet,fear
811,"Sri Lanka floods displace 60,000",sadness
812,"Justin Timberlake, Cameron Diaz announce split",sadness
813,Iran to hit US interests if attacked,fear
814,Israel says hopes to keep Lebanon border calm,joy
815,Cisco sues Apple over iPhone name,anger
816,Two Palestinians killed near fence,sadness
817,EarthLink CEO dies at age 49,sadness
818,"A star dies, a family feud is born",sadness
819,"Carter was a disaster, said Ford",anger
820,Super Bowl MVP Manning insists he's one of the guys,joy
821,Personal health: the importance of knowing what the doctor is talking about,fear
822,Israel's Peretz urges halt to contentious Jerusalem construction,anger
823,Peter Jackson will never work for me again,anger
824,U.S. keeps Iran options open,joy
825,European shares hit fresh highs,joy
826,"For women, nothing's like the smell of men's sweat",surprise
827,Looking beyond the iPhone,surprise
828,Freed kidnap suspect: my terror at police raid,fear
829,"Far away, Super Bowl's losers will be champs",joy
830,Woman dies after water binge,sadness
831,Mancuso sparks U.S. celebrations,joy
832,ASEAN urges North Korea resolution,fear
833,Late penalty costs Roma the points,sadness
834,Mistrial declared in teacher-student rape case,sadness
835,'Bookworm Adventures' wordsmith's joy,joy
836,Kylie's love split,sadness
837,iPod good for video games,joy
838,Review: virtual 'American Idol' hits right notes,joy
839,Leo battles himself,joy
840,Attorneys point fingers in fight between Ryan O'Neal and son,anger
841,John Grisham set for court drama,fear
842,"Bill Gates and Craig Mundie: vista is Secure, employees are not",surprise
843,Iraqis fault delayed U.S. plan in attack,anger
844,Boy Scouts blamed for starting wildfire,fear
845,China urges UN action on N Korea,fear
846,"Scorpion on a plane, a pantful of pain",fear
847,Male sweat boosts women's hormone levels,surprise
848,Mbeki on the big visit from the Chinese,surprise
849,French right nominates Sarkozy,joy
850,"Israeli, Lebanese clash on border",fear
851,North Korea claims nuclear test,fear
852,Talks begin on Somalia peacekeepers,joy
853,Action games improve eyesight,surprise
854,"A small part of the brain, and its profound effects",surprise
855,IDF shells Lebanese Army positions across northern border,fear
856,Thailand: missing 25 years after taking wrong bus,sadness
857,Ballerina sparks anti-fascist row,anger
858,Internet boom in China is built on virtual fun,joy
859,Review: PS3 pricey but impressive,joy
860,Machinery orders drive Asia upward,joy
861,'Lost's' Fox: 'I'm a liar and a cheat',disgust
862,Russia to strengthen its military muscle,fear
863,"At Libby trial, Russert of NBC gives and gets",fear
864,North Korea ready to discuss first steps to nuclear resolution,joy
865,Victim: Gunman bought drink after shooting,surprise
866,Ferrer victorious in Spanish duel,joy
867,UK workers on alert for letter bombs,fear
868,Did NASA accidentally kill life on Mars?,surprise
869,"New vaccine for cervical cancer could prove useful in men, too",joy
870,Search on for victims of subway collapse,sadness
