id,text,emotions,Degree
1276,Oprah announces new book club pick,joy,100
1277,The science of love ... and lust,joy,25
1278,"Northeaster cancels flights, shuts schools",sadness,100
1279,Napping may be good for your heart,joy,100
1280,Ryan O'Neal injured son's girlfriend,sadness,100
1281,Chrysler's Valentine's Day massacre,sadness,100
1282,Madrid bombings trial begins,fear,100
1283,Fight starts over HPV vaccine,disgust,25
1284,Autos drive European gains,joy,100
1285,James Brown's partner can get her things,joy,25
1286,Auto show canceled,sadness,25
1287,UK luxury maker Burberry: 'Made in China'?,surprise,25
1288,On-the-job naps might cut heart risk,joy,100
1289,"No. 1 Florida survives Rupp Arena, streak hits 16",joy,100
1290,J.K. Rowling marks spot of 'Potter's' end,sadness,25
1291,Gronholm takes a commanding lead,joy,25
1292,Howard slams Obama on Iraq policy,anger,25
1293,Manila hints at ransom approval,sadness,25
1294,Champion Murray too good for Kim,joy,25
1295,"G7: Yen skates by, yuan singled out",sadness,25
1296,Gunman 'was Srebrenica survivor',surprise,25
1297,Cutting through the clutter to get things done,joy,25
1298,Mother: Lohan is doing 'great' in rehab,joy,100
1299,Who's going to win at the Grammys?,joy,25
1300,"Libby defense upsets judge, rests",surprise,25
1301,Breakup rings find new homes,sadness,25
1302,Gronholm ahead as Solberg crashes,joy,25
1303,'Norbit' a waste of Murphy,sadness,25
1304,Rocky start for Bangkok airport,surprise,25
1305,12 dead in Lebanese minibus bombings,sadness,100
1306,Sex torture claims hit Russia army,disgust,100
1307,Mega-marsupials once roamed Australia,surprise,100
1308,Rupert Murdoch's secret TiVo,surprise,25
1309,"UPDATE 1-Plane crashes at Moscow airport, no passengers",sadness,100
1310,HPV vaccination stirs heated debate in America,surprise,100
1311,Court TV: Accused killer tells jury a love story,surprise,100
1312,Whistle-blowing Web site exposed,surprise,25
1313,"Start late, retire rich",joy,25
1314,Somali PM vows to bring Islamists to justice,anger,25
1315,Swingers more common than most think,surprise,25
1316,Anna Nicole Smith fans mourn in cyberspace,sadness,100
1317,Antibiotic Ketek more dangerous than thought,fear,100
1318,Time to book your cruise,joy,100
1319,'Blazing Angels' for PS3 fails to soar,sadness,100
1320,North Korea aid demand stall talks,sadness,25
1321,Cartoon Network head steps down,sadness,100
1322,Malaysia aggressively wooing tourists,joy,100
1323,Anna Nicole Smith's Bahamas home seized,sadness,100
1324,Andromeda involved in galactic collision,surprise,100
1325,Rwanda mulling 3-kid limit for families,joy,25
1326,Wilkinson sets record in tame win,joy,100
1327,Army engineers say dam safe,joy,100
1328,France: Al Qaeda suspects arrested,fear,100
1329,Utah gunman survived Srebrenica,joy,25
1330,Creating a whole album in a month?,surprise,100
1331,India to test new nuclear missile,fear,100
1332,G7 to China: Ease exchange rate grip,surprise,25
1333,Hatton hands back IBF title again,joy,25
1334,"Bernanke: Economy healthy, but...",fear,25
1335,"Mickelson, Sutherland share lead",joy,25
1336,"Napping is good for your heart, study finds",joy,100
1337,Princess Masako author: No regrets,surprise,25
1338,Students use IM-lingo in essays,surprise,100
1339,Malaysia launches tourism campaign,joy,100
1340,Study: Africa's Internet gap getting wider,sadness,100
1341,Travel chaos as heavy snow hits UK,fear,25
1342,Paula Abdul: 'I have never been drunk',surprise,25
1343,Salmonella outbreak traced to peanut butter,fear,100
1344,Putin: U.S. force fostering nuke ambitions,fear,100
1345,"Nuke detectors to ring New York, official says",fear,100
1346,Double bus-bombing kills three in Lebanon,sadness,100
1347,Davydenko out as seeds scattered,surprise,25
1348,Obama: I'm running for president,joy,25
1349,Paterson boots Scotland to victory,joy,100
1350,"African-Americans are organ donors these days, but what about bone marrow?",surprise,25
1351,Study: On-the-job naps might help heart,joy,100
1352,"Guinea capital largely calm under curfew, marital law",fear,100
1353,Bosses sleeping on idea of letting workers take naps,surprise,100
1354,Teacher's porn conviction sparks tech debate,disgust,100
1355,Singapore pampers its waterfront promenade,joy,100
1356,Rwanda mulls three-child limit,surprise,25
1357,Samsung settles price-fixing lawsuit,joy,25
1358,"Radical cleric al-Sadr in Iran, U.S. insists",fear,25
1359,Reports: Harvard set to name first female president,joy,100
1360,Iraq unveils new security plans,surprise,25
1361,University offers support to New Orleans school,joy,100
1362,"Storm causes slick, icy roads",fear,100
1363,South Korea fire kills 10 foreigners,sadness,100
1364,Prehistoric lovers found locked in eternal embrace,surprise,100
1365,Charts: Is your city lean or lethargic?,surprise,25
1366,Peru leader questioned in massacre probe,sadness,25
1367,U.S. commander: Iraq not hopeless,joy,25
1368,Australian PM stands by Obama attack,joy,25
1369,Mardi Gras rebound in the offing for New Orleans?,joy,100
1370,Siestas may cut heart disease risk,joy,100
1371,"Oregon snorkeler mistaken for rodent, shot in face",sadness,100
1372,Petraeus takes command in Iraq,fear,25
1373,6 dead after Utah Mall shooting rampage,sadness,100
1374,Sharks kill four people in 'dull' year,sadness,100
1375,Record-shattering day on Wall St.,joy,100
1376,Comedian says government silences critics,sadness,25
1377,Rockers big winners at Brit Awards,joy,100
1378,Samba school leader killed before Rio carnival,sadness,100
1379,"Taiwan's 'Mr. Clean' indicted, steps down",sadness,100
1380,Woman fights to keep drunken driver in jail,anger,100
1381,Al Qaeda group calls for attacks on U.S. oil,fear,100
1382,Cousin: Gunman was Srebrenica survivor,sadness,25
1383,Turkmenistan votes for president,joy,25
1384,Here is some advice to take to heart...,surprise,25
1385,10 don't-miss tax breaks,joy,25
1386,Police break up Kosovo protests,anger,25
1387,Messi makes Barcelona squad return,joy,25
1388,Jump reported in accidental drug-overdose deaths,sadness,100
1389,Catania punished for fan violence,sadness,100
1390,Isinbayeva sets 20th world record,joy,100
1391,Lawmakers blast FDA drug safety oversight,anger,25
1392,Regular naps make hearts healthy,joy,100
1393,Ice stops trolleys cold,sadness,25
1394,U.S. gunman 'was Srebrenica survivor',surprise,25
1395,Outdated baby food found on shelves,disgust,25
1396,Tow truck drivers accused of stealing cars,disgust,25
1397,Bush: It's time for Congress to back energy plan,joy,25
1398,UK soldiers cleared of Iraq abuse,joy,25
1399,FDA revises label warnings on the antibiotic Ketek,joy,25
1400,Toshiba Portege R400,joy,25
1401,South Africa mourns Adelaide Tambo,sadness,100
1402,Evacuees can return home after plant blast,joy,100
1403,Anna Nicole Smith's body lies in legal limbo,sadness,100
1404,Former teacher poses for Playboy,surprise,25
1405,France rejects Rwandan investigators,anger,25
1406,A nap a day may keep the heart doctor away,surprise,100
1407,"Higley, Gonzalez lead in Malaysia",joy,25
1408,Grammys ready to name winners,joy,100
1409,Pound will not drop Armstrong case,anger,25
1410,Reunited Police to start world tour in May,joy,100
1411,Turkmen acting leader sworn in as new president,joy,25
1412,Allen and Okur get All-Star call,joy,25
1413,Svindal claims are golden double,joy,25
1414,"Trolley Square shooting leaves 6 dead, including gunman",sadness,100
1415,Bridge blast stops I-95 traffic,fear,100
1416,"Mother, daughter stabbed near school",sadness,100
1417,Excerpt: Politicians and the press,disgust,25
1418,North Korea gets 'money and respect',joy,25
1419,Beyonce in a bikini as SI's swimsuit cover model,joy,25
1420,Loving with all your ... brain,surprise,100
1421,Shoplifters' choice: Police or T-shirt of shame,surprise,25
1422,Cuban official: Web a 'wild colt',fear,25
1423,Slow 'Music and Lyrics',joy,25
1424,Mexican navy helps in hunt for U.S. engineer,joy,25
1425,Smith baby may not be pot of gold,sadness,25
1426,Latest updates on world's top stories,fear,25
1427,Beating leaves teen in coma,sadness,100
1428,Tiempo Libre has Grammy dreams,joy,100
1429,GPS sneakers locate with press of a button,surprise,25
1430,Embattled Edwards blogger quits campaign,sadness,25
1431,Britons deported from Somalia held under Terrorism Act,fear,100
1432,Updates on world's top stories,fear,25
1433,Breast cancer drug promises hope,joy,100
1434,Ancient coin shows Cleopatra was no beauty,surprise,100
1435,YouTube yields surprising payback,surprise,100
1436,Up to 22 inches of snow in forecast,surprise,100
1437,Werder make 10-man Ajax pay price,joy,25
1438,EU condemns 'illegal' CIA flights,anger,100
1439,Report links humans to global warming,fear,100
1440,UN nuclear watchdog slashes Iran aid,anger,25
1441,Survey: Tech a tool in teen dating abuse,sadness,100
1442,The breast cancer breakthrough saving 1000 women a year,joy,100
1443,"Tourist spot resists gravity, but not progress",sadness,25
